fuseLinkMinAmps,fuseLinkMinSeconds,fuseLinkTotClrAmps,fuseLinkTotClrSeconds
10000.0,0.0133,10000.0,0.0133
10000.0,0.0133,10000.0,0.0101
3000.0,0.0133,426.951,0.0101
2000.0,0.01388,426.951,0.0101
1000.0,0.01575,426.951,0.0101
700.0,0.01802,139.6776,0.0861
500.0,0.02281,73.4147,0.3278
300.0,0.04168,43.6231,1.0746
200.0,0.07601,30.9005,2.7937
100.0,0.2632,26.007,4.9244
70.0,0.5383,23.4667,8.1989
50.0,1.208,21.7437,13.7486
33.5709,3.7825,20.4163,27.2602
29.8928,5.9486,19.6851,59.9375
26.4417,11.879,19.7504,300.0
25.0756,20.7162,,
23.4667,61.2334,,
23.389,299.2087,,
