tipoCurto,n,m1,m2,m3,A_I800,B_I800,C_I800,A_I800A,B_I800A,C_I800A,A_I802,B_I802,C_I802,A_I802A,B_I802A,C_I802A,A_I806,B_I806,C_I806,A_I806A,B_I806A,C_I806A,A_I808,B_I808,C_I808,A_I808A,B_I808A,C_I808A,A_I812,B_I812,C_I812,A_I812A,B_I812A,C_I812A,A_I814,B_I814,C_I814,A_I814A,B_I814A,C_I814A,A_I816,B_I816,C_I816,A_I816A,B_I816A,C_I816A,A_I818,B_I818,C_I818,A_I818A,B_I818A,C_I818A,A_I820,B_I820,C_I820,A_I820A,B_I820A,C_I820A,A_I822,B_I822,C_I822,A_I822A,B_I822A,C_I822A,A_I824,B_I824,C_I824,A_I824A,B_I824A,C_I824A,A_I828,B_I828,C_I828,A_I828A,B_I828A,C_I828A,A_I830,B_I830,C_I830,A_I830A,B_I830A,C_I830A,A_I832,B_I832,C_I832,A_I832A,B_I832A,C_I832A,A_I850,B_I850,C_I850,A_I850A,B_I850A,C_I850A,A_I852,B_I852,C_I852,A_I852A,B_I852A,C_I852A,A_I854,B_I854,C_I854,A_I854A,B_I854A,C_I854A,A_IRG10,B_IRG10,C_IRG10,A_IRG10A,B_IRG10A,C_IRG10A,A_IRG11,B_IRG11,C_IRG11,A_IRG11A,B_IRG11A,C_IRG11A
1,1,0.001,0.5,0.5,387.3487,419.0376,336.3862,-0.4438717,-2.709734,1.470897,387.376,419.0745,336.4235,-0.4440206,-2.709858,1.470743,387.375,417.5075,335.083,-0.4441428,-2.710545,1.470147,387.6543,416.3161,334.1375,-0.4458715,-2.712568,1.467862,387.9088,414.9462,334.5578,-0.4475304,-2.714613,1.466116,387.9105,415.0653,334.6518,-0.4478244,-2.714796,1.465634,352.6355,390.6427,314.9586,-0.447845,-2.714819,1.465598,260.8544,252.6664,257.2567,2.86827,0.7756684,-1.29207,87.19935,89.25376,104.6665,2.607411,0.7356134,-1.485884,0.9987061,1.019508,1.193018,2.110319,0.233489,-1.983753,2.023992e-17,2.330887,3.694107e-17,-1.455718,-2.594792,-1.80686,31.39021,27.36335,34.46125,-0.3350897,-2.217734,2.045059,30.99115,27.38362,34.47244,-0.3403107,-2.226511,2.03674,27.15876,24.516,30.39826,-0.3279824,-2.223538,2.036337,352.6344,390.6406,314.956,-0.4478336,-2.714811,1.465609,29.88807,26.67315,33.26253,-0.3279206,-2.223508,2.036351,29.90434,26.82952,33.27527,-0.3235497,-2.219172,2.042504,352.6344,390.6406,314.956,-0.4478335,-2.714811,1.46561,27.15876,24.51598,30.39826,-0.327981,-2.223536,2.036339
2,2,0.001,0.5,0.5,387.3487,419.0376,336.3862,-0.4438717,-2.709734,1.470897,387.376,419.0745,336.4235,-0.4440206,-2.709858,1.470743,387.375,417.5075,335.083,-0.4441428,-2.710545,1.470147,387.6543,416.3161,334.1375,-0.4458715,-2.712568,1.467862,387.9088,414.9462,334.5578,-0.4475304,-2.714613,1.466116,387.9105,415.0653,334.6518,-0.4478244,-2.714796,1.465634,352.6355,390.6427,314.9586,-0.447845,-2.714819,1.465598,260.8544,252.6664,257.2567,2.86827,0.7756684,-1.29207,87.19935,89.25376,104.6665,2.607411,0.7356134,-1.485884,0.9987061,1.019508,1.193018,2.110319,0.233489,-1.983753,2.023992e-17,2.330887,3.694107e-17,-1.455718,-2.594792,-1.80686,31.39021,27.36335,34.46125,-0.3350897,-2.217734,2.045059,30.99115,27.38362,34.47244,-0.3403107,-2.226511,2.03674,27.15876,24.516,30.39826,-0.3279824,-2.223538,2.036337,352.6344,390.6406,314.956,-0.4478336,-2.714811,1.465609,29.88807,26.67315,33.26253,-0.3279206,-2.223508,2.036351,29.90434,26.82952,33.27527,-0.3235497,-2.219172,2.042504,352.6344,390.6406,314.956,-0.4478335,-2.714811,1.46561,27.15876,24.51598,30.39826,-0.327981,-2.223536,2.036339
3,3,0.001,0.5,0.5,387.3487,419.0376,336.3862,-0.4438717,-2.709734,1.470897,387.376,419.0745,336.4235,-0.4440206,-2.709858,1.470743,387.375,417.5075,335.083,-0.4441428,-2.710545,1.470147,387.6543,416.3161,334.1375,-0.4458715,-2.712568,1.467862,387.9088,414.9462,334.5578,-0.4475304,-2.714613,1.466116,387.9105,415.0653,334.6518,-0.4478244,-2.714796,1.465634,352.6355,390.6427,314.9586,-0.447845,-2.714819,1.465598,260.8544,252.6664,257.2567,2.86827,0.7756684,-1.29207,87.19935,89.25376,104.6665,2.607411,0.7356134,-1.485884,0.9987061,1.019508,1.193018,2.110319,0.233489,-1.983753,2.023992e-17,2.330887,3.694107e-17,-1.455718,-2.594792,-1.80686,31.39021,27.36335,34.46125,-0.3350897,-2.217734,2.045059,30.99115,27.38362,34.47244,-0.3403107,-2.226511,2.03674,27.15876,24.516,30.39826,-0.3279824,-2.223538,2.036337,352.6344,390.6406,314.956,-0.4478336,-2.714811,1.465609,29.88807,26.67315,33.26253,-0.3279206,-2.223508,2.036351,29.90434,26.82952,33.27527,-0.3235497,-2.219172,2.042504,352.6344,390.6406,314.956,-0.4478335,-2.714811,1.46561,27.15876,24.51598,30.39826,-0.327981,-2.223536,2.036339
4,4,0.001,0.5,0.5,387.3487,419.0376,336.3862,-0.4438717,-2.709734,1.470897,387.376,419.0745,336.4235,-0.4440206,-2.709858,1.470743,387.375,417.5075,335.083,-0.4441428,-2.710545,1.470147,387.6543,416.3161,334.1375,-0.4458715,-2.712568,1.467862,387.9088,414.9462,334.5578,-0.4475304,-2.714613,1.466116,387.9105,415.0653,334.6518,-0.4478244,-2.714796,1.465634,352.6355,390.6427,314.9586,-0.447845,-2.714819,1.465598,260.8544,252.6664,257.2567,2.86827,0.7756684,-1.29207,87.19935,89.25376,104.6665,2.607411,0.7356134,-1.485884,0.9987061,1.019508,1.193018,2.110319,0.233489,-1.983753,2.023992e-17,2.330887,3.694107e-17,-1.455718,-2.594792,-1.80686,31.39021,27.36335,34.46125,-0.3350897,-2.217734,2.045059,30.99115,27.38362,34.47244,-0.3403107,-2.226511,2.03674,27.15876,24.516,30.39826,-0.3279824,-2.223538,2.036337,352.6344,390.6406,314.956,-0.4478336,-2.714811,1.465609,29.88807,26.67315,33.26253,-0.3279206,-2.223508,2.036351,29.90434,26.82952,33.27527,-0.3235497,-2.219172,2.042504,352.6344,390.6406,314.956,-0.4478335,-2.714811,1.46561,27.15876,24.51598,30.39826,-0.327981,-2.223536,2.036339
5,5,0.001,0.5,0.5,387.3487,419.0376,336.3862,-0.4438717,-2.709734,1.470897,387.376,419.0745,336.4235,-0.4440206,-2.709858,1.470743,387.375,417.5075,335.083,-0.4441428,-2.710545,1.470147,387.6543,416.3161,334.1375,-0.4458715,-2.712568,1.467862,387.9088,414.9462,334.5578,-0.4475304,-2.714613,1.466116,387.9105,415.0653,334.6518,-0.4478244,-2.714796,1.465634,352.6355,390.6427,314.9586,-0.447845,-2.714819,1.465598,260.8544,252.6664,257.2567,2.86827,0.7756684,-1.29207,87.19935,89.25376,104.6665,2.607411,0.7356134,-1.485884,0.9987061,1.019508,1.193018,2.110319,0.233489,-1.983753,2.023992e-17,2.330887,3.694107e-17,-1.455718,-2.594792,-1.80686,31.39021,27.36335,34.46125,-0.3350897,-2.217734,2.045059,30.99115,27.38362,34.47244,-0.3403107,-2.226511,2.03674,27.15876,24.516,30.39826,-0.3279824,-2.223538,2.036337,352.6344,390.6406,314.956,-0.4478336,-2.714811,1.465609,29.88807,26.67315,33.26253,-0.3279206,-2.223508,2.036351,29.90434,26.82952,33.27527,-0.3235497,-2.219172,2.042504,352.6344,390.6406,314.956,-0.4478335,-2.714811,1.46561,27.15876,24.51598,30.39826,-0.327981,-2.223536,2.036339
1,6,0.1,0.5,0.5,386.6429,418.0393,336.1356,-0.4445859,-2.709084,1.471725,386.6703,418.0761,336.1729,-0.444735,-2.709209,1.47157,386.6693,416.509,334.8323,-0.4448574,-2.709895,1.470977,386.9492,415.3172,333.8862,-0.4465889,-2.711921,1.468692,387.2046,413.9469,334.3059,-0.448251,-2.71397,1.466943,387.2065,414.0661,334.3997,-0.4485458,-2.714154,1.46646,351.9955,389.7022,314.7213,-0.4485665,-2.714177,1.466424,260.7275,252.6711,257.3669,2.868804,0.7769883,-1.291604,87.16032,89.2654,104.7114,2.607829,0.7368829,-1.485418,0.9982584,1.019639,1.193529,2.110741,0.2347606,-1.983287,2.026916e-17,2.337149,3.695589e-17,-1.454347,-2.59535,-1.807412,31.428,27.43838,34.48322,-0.3338124,-2.21834,2.044606,31.02836,27.45871,34.49437,-0.3390348,-2.227117,2.036288,27.19177,24.58309,30.41765,-0.326698,-2.22414,2.035871,351.9943,389.7002,314.7187,-0.4485551,-2.714169,1.466436,29.92441,26.74614,33.28374,-0.3266362,-2.22411,2.035885,29.9407,26.90305,33.29659,-0.3222664,-2.219777,2.042038,351.9943,389.7001,314.7187,-0.448555,-2.714169,1.466436,27.19177,24.58307,30.41765,-0.3266966,-2.224138,2.035873
2,7,0.1,0.5,0.5,386.6429,418.0393,336.1356,-0.4445859,-2.709084,1.471725,386.6703,418.0761,336.1729,-0.444735,-2.709209,1.47157,386.6693,416.509,334.8323,-0.4448574,-2.709895,1.470977,386.9492,415.3172,333.8862,-0.4465889,-2.711921,1.468692,387.2046,413.9469,334.3059,-0.448251,-2.71397,1.466943,387.2065,414.0661,334.3997,-0.4485458,-2.714154,1.46646,351.9955,389.7022,314.7213,-0.4485665,-2.714177,1.466424,260.7275,252.6711,257.3669,2.868804,0.7769883,-1.291604,87.16032,89.2654,104.7114,2.607829,0.7368829,-1.485418,0.9982584,1.019639,1.193529,2.110741,0.2347606,-1.983287,2.026916e-17,2.337149,3.695589e-17,-1.454347,-2.59535,-1.807412,31.428,27.43838,34.48322,-0.3338124,-2.21834,2.044606,31.02836,27.45871,34.49437,-0.3390348,-2.227117,2.036288,27.19177,24.58309,30.41765,-0.326698,-2.22414,2.035871,351.9943,389.7002,314.7187,-0.4485551,-2.714169,1.466436,29.92441,26.74614,33.28374,-0.3266362,-2.22411,2.035885,29.9407,26.90305,33.29659,-0.3222664,-2.219777,2.042038,351.9943,389.7001,314.7187,-0.448555,-2.714169,1.466436,27.19177,24.58307,30.41765,-0.3266966,-2.224138,2.035873
3,8,0.1,0.5,0.5,386.6429,418.0393,336.1356,-0.4445859,-2.709084,1.471725,386.6703,418.0761,336.1729,-0.444735,-2.709209,1.47157,386.6693,416.509,334.8323,-0.4448574,-2.709895,1.470977,386.9492,415.3172,333.8862,-0.4465889,-2.711921,1.468692,387.2046,413.9469,334.3059,-0.448251,-2.71397,1.466943,387.2065,414.0661,334.3997,-0.4485458,-2.714154,1.46646,351.9955,389.7022,314.7213,-0.4485665,-2.714177,1.466424,260.7275,252.6711,257.3669,2.868804,0.7769883,-1.291604,87.16032,89.2654,104.7114,2.607829,0.7368829,-1.485418,0.9982584,1.019639,1.193529,2.110741,0.2347606,-1.983287,2.026916e-17,2.337149,3.695589e-17,-1.454347,-2.59535,-1.807412,31.428,27.43838,34.48322,-0.3338124,-2.21834,2.044606,31.02836,27.45871,34.49437,-0.3390348,-2.227117,2.036288,27.19177,24.58309,30.41765,-0.326698,-2.22414,2.035871,351.9943,389.7002,314.7187,-0.4485551,-2.714169,1.466436,29.92441,26.74614,33.28374,-0.3266362,-2.22411,2.035885,29.9407,26.90305,33.29659,-0.3222664,-2.219777,2.042038,351.9943,389.7001,314.7187,-0.448555,-2.714169,1.466436,27.19177,24.58307,30.41765,-0.3266966,-2.224138,2.035873
4,9,0.1,0.5,0.5,386.6429,418.0393,336.1356,-0.4445859,-2.709084,1.471725,386.6703,418.0761,336.1729,-0.444735,-2.709209,1.47157,386.6693,416.509,334.8323,-0.4448574,-2.709895,1.470977,386.9492,415.3172,333.8862,-0.4465889,-2.711921,1.468692,387.2046,413.9469,334.3059,-0.448251,-2.71397,1.466943,387.2065,414.0661,334.3997,-0.4485458,-2.714154,1.46646,351.9955,389.7022,314.7213,-0.4485665,-2.714177,1.466424,260.7275,252.6711,257.3669,2.868804,0.7769883,-1.291604,87.16032,89.2654,104.7114,2.607829,0.7368829,-1.485418,0.9982584,1.019639,1.193529,2.110741,0.2347606,-1.983287,2.026916e-17,2.337149,3.695589e-17,-1.454347,-2.59535,-1.807412,31.428,27.43838,34.48322,-0.3338124,-2.21834,2.044606,31.02836,27.45871,34.49437,-0.3390348,-2.227117,2.036288,27.19177,24.58309,30.41765,-0.326698,-2.22414,2.035871,351.9943,389.7002,314.7187,-0.4485551,-2.714169,1.466436,29.92441,26.74614,33.28374,-0.3266362,-2.22411,2.035885,29.9407,26.90305,33.29659,-0.3222664,-2.219777,2.042038,351.9943,389.7001,314.7187,-0.448555,-2.714169,1.466436,27.19177,24.58307,30.41765,-0.3266966,-2.224138,2.035873
5,10,0.1,0.5,0.5,386.6429,418.0393,336.1356,-0.4445859,-2.709084,1.471725,386.6703,418.0761,336.1729,-0.444735,-2.709209,1.47157,386.6693,416.509,334.8323,-0.4448574,-2.709895,1.470977,386.9492,415.3172,333.8862,-0.4465889,-2.711921,1.468692,387.2046,413.9469,334.3059,-0.448251,-2.71397,1.466943,387.2065,414.0661,334.3997,-0.4485458,-2.714154,1.46646,351.9955,389.7022,314.7213,-0.4485665,-2.714177,1.466424,260.7275,252.6711,257.3669,2.868804,0.7769883,-1.291604,87.16032,89.2654,104.7114,2.607829,0.7368829,-1.485418,0.9982584,1.019639,1.193529,2.110741,0.2347606,-1.983287,2.026916e-17,2.337149,3.695589e-17,-1.454347,-2.59535,-1.807412,31.428,27.43838,34.48322,-0.3338124,-2.21834,2.044606,31.02836,27.45871,34.49437,-0.3390348,-2.227117,2.036288,27.19177,24.58309,30.41765,-0.326698,-2.22414,2.035871,351.9943,389.7002,314.7187,-0.4485551,-2.714169,1.466436,29.92441,26.74614,33.28374,-0.3266362,-2.22411,2.035885,29.9407,26.90305,33.29659,-0.3222664,-2.219777,2.042038,351.9943,389.7001,314.7187,-0.448555,-2.714169,1.466436,27.19177,24.58307,30.41765,-0.3266966,-2.224138,2.035873
