tipoCurto,n,m1,m2,m3,A_I800,B_I800,C_I800,A_I800A,B_I800A,C_I800A,A_V802,B_V802,C_V802,A_V802A,B_V802A,C_V802A,A_V806,B_V806,C_V806,A_V806A,B_V806A,C_V806A,A_V808,B_V808,C_V808,A_V808A,B_V808A,C_V808A,A_V812,B_V812,C_V812,A_V812A,B_V812A,C_V812A,A_V814,B_V814,C_V814,A_V814A,B_V814A,C_V814A,A_V816,B_V816,C_V816,A_V816A,B_V816A,C_V816A,A_V818,B_V818,C_V818,A_V818A,B_V818A,C_V818A,A_V820,B_V820,C_V820,A_V820A,B_V820A,C_V820A,A_V822,B_V822,C_V822,A_V822A,B_V822A,C_V822A,A_V824,B_V824,C_V824,A_V824A,B_V824A,C_V824A,A_V828,B_V828,C_V828,A_V828A,B_V828A,C_V828A,A_V830,B_V830,C_V830,A_V830A,B_V830A,C_V830A,A_V832,B_V832,C_V832,A_V832A,B_V832A,C_V832A,A_V850,B_V850,C_V850,A_V850A,B_V850A,C_V850A,A_V852,B_V852,C_V852,A_V852A,B_V852A,C_V852A,A_V854,B_V854,C_V854,A_V854A,B_V854A,C_V854A,A_VRG10,B_VRG10,C_VRG10,A_VRG10A,B_VRG10A,C_VRG10A,A_VRG11,B_VRG11,C_VRG11,A_VRG11A,B_VRG11A,C_VRG11A
1,1,0.001,0.5,0.5,387.348677,419.037638,336.38616,-0.44387174,-2.70973374,1.47089717,21085.7628,21062.1858,21118.6151,-0.00242745989,-2.09479668,2.09431377,20910.5174,20872.2002,20965.9828,-0.00410254125,-2.09507508,2.09426875,17653.4696,17349.5061,18130.583,-0.0414326314,-2.1011303,2.09378564,13908.1117,13270.2512,14820.5776,-0.106846221,-2.11117533,2.09352733,10889.6556,10214.0312,12089.5302,-0.176489624,-2.13531802,2.09353329,11938.9621,10807.9147,12809.6972,-0.177110358,-2.13484251,2.09398998,6680.61146,4381.97747,5648.42121,-2.6622234,1.47339631,-0.22859404,1739.60215,1908.68136,1904.114,-2.95446892,1.28180448,-0.912229663,1402.5058,1719.30173,1686.91031,-3.02663804,1.24042886,-1.05261814,11829.4171,10701.1526,12693.3096,-0.179544001,-2.13856849,2.08971644,11820.3496,10693.301,12684.0696,-0.179760911,-2.13887235,2.08937621,11601.1163,10501.7225,12460.6032,-0.185014962,-2.14634136,2.08100024,12327.6863,11078.2814,13191.0474,-0.194596909,-2.1607648,2.06502191,11977.3459,10851.0722,12843.9846,-0.176505361,-2.13530614,2.0935477,11207.0748,10186.9968,12060.4752,-0.194594767,-2.16076143,2.06502558,11595.8051,10496.9431,12455.1377,-0.185150588,-2.14653216,2.08078863,11978.6205,10852.4075,12845.1253,-0.176489607,-2.13531796,2.09353332,12327.7822,11078.359,13191.1447,-0.194594759,-2.16076143,2.06502558
2,2,0.001,0.5,0.5,387.348677,419.037638,336.38616,-0.44387174,-2.70973374,1.47089717,21085.7628,21062.1858,21118.6151,-0.00242745989,-2.09479668,2.09431377,20910.5174,20872.2002,20965.9828,-0.00410254125,-2.09507508,2.09426875,17653.4696,17349.5061,18130.583,-0.0414326314,-2.1011303,2.09378564,13908.1117,13270.2512,14820.5776,-0.106846221,-2.11117533,2.09352733,10889.6556,10214.0312,12089.5302,-0.176489624,-2.13531802,2.09353329,11938.9621,10807.9147,12809.6972,-0.177110358,-2.13484251,2.09398998,6680.61146,4381.97747,5648.42121,-2.6622234,1.47339631,-0.22859404,1739.60215,1908.68136,1904.114,-2.95446892,1.28180448,-0.912229663,1402.5058,1719.30173,1686.91031,-3.02663804,1.24042886,-1.05261814,11829.4171,10701.1526,12693.3096,-0.179544001,-2.13856849,2.08971644,11820.3496,10693.301,12684.0696,-0.179760911,-2.13887235,2.08937621,11601.1163,10501.7225,12460.6032,-0.185014962,-2.14634136,2.08100024,12327.6863,11078.2814,13191.0474,-0.194596909,-2.1607648,2.06502191,11977.3459,10851.0722,12843.9846,-0.176505361,-2.13530614,2.0935477,11207.0748,10186.9968,12060.4752,-0.194594767,-2.16076143,2.06502558,11595.8051,10496.9431,12455.1377,-0.185150588,-2.14653216,2.08078863,11978.6205,10852.4075,12845.1253,-0.176489607,-2.13531796,2.09353332,12327.7822,11078.359,13191.1447,-0.194594759,-2.16076143,2.06502558
3,3,0.001,0.5,0.5,387.348677,419.037638,336.38616,-0.44387174,-2.70973374,1.47089717,21085.7628,21062.1858,21118.6151,-0.00242745989,-2.09479668,2.09431377,20910.5174,20872.2002,20965.9828,-0.00410254125,-2.09507508,2.09426875,17653.4696,17349.5061,18130.583,-0.0414326314,-2.1011303,2.09378564,13908.1117,13270.2512,14820.5776,-0.106846221,-2.11117533,2.09352733,10889.6556,10214.0312,12089.5302,-0.176489624,-2.13531802,2.09353329,11938.9621,10807.9147,12809.6972,-0.177110358,-2.13484251,2.09398998,6680.61146,4381.97747,5648.42121,-2.6622234,1.47339631,-0.22859404,1739.60215,1908.68136,1904.114,-2.95446892,1.28180448,-0.912229663,1402.5058,1719.30173,1686.91031,-3.02663804,1.24042886,-1.05261814,11829.4171,10701.1526,12693.3096,-0.179544001,-2.13856849,2.08971644,11820.3496,10693.301,12684.0696,-0.179760911,-2.13887235,2.08937621,11601.1163,10501.7225,12460.6032,-0.185014962,-2.14634136,2.08100024,12327.6863,11078.2814,13191.0474,-0.194596909,-2.1607648,2.06502191,11977.3459,10851.0722,12843.9846,-0.176505361,-2.13530614,2.0935477,11207.0748,10186.9968,12060.4752,-0.194594767,-2.16076143,2.06502558,11595.8051,10496.9431,12455.1377,-0.185150588,-2.14653216,2.08078863,11978.6205,10852.4075,12845.1253,-0.176489607,-2.13531796,2.09353332,12327.7822,11078.359,13191.1447,-0.194594759,-2.16076143,2.06502558
4,4,0.001,0.5,0.5,387.348677,419.037638,336.38616,-0.44387174,-2.70973374,1.47089717,21085.7628,21062.1858,21118.6151,-0.00242745989,-2.09479668,2.09431377,20910.5174,20872.2002,20965.9828,-0.00410254125,-2.09507508,2.09426875,17653.4696,17349.5061,18130.583,-0.0414326314,-2.1011303,2.09378564,13908.1117,13270.2512,14820.5776,-0.106846221,-2.11117533,2.09352733,10889.6556,10214.0312,12089.5302,-0.176489624,-2.13531802,2.09353329,11938.9621,10807.9147,12809.6972,-0.177110358,-2.13484251,2.09398998,6680.61146,4381.97747,5648.42121,-2.6622234,1.47339631,-0.22859404,1739.60215,1908.68136,1904.114,-2.95446892,1.28180448,-0.912229663,1402.5058,1719.30173,1686.91031,-3.02663804,1.24042886,-1.05261814,11829.4171,10701.1526,12693.3096,-0.179544001,-2.13856849,2.08971644,11820.3496,10693.301,12684.0696,-0.179760911,-2.13887235,2.08937621,11601.1163,10501.7225,12460.6032,-0.185014962,-2.14634136,2.08100024,12327.6863,11078.2814,13191.0474,-0.194596909,-2.1607648,2.06502191,11977.3459,10851.0722,12843.9846,-0.176505361,-2.13530614,2.0935477,11207.0748,10186.9968,12060.4752,-0.194594767,-2.16076143,2.06502558,11595.8051,10496.9431,12455.1377,-0.185150588,-2.14653216,2.08078863,11978.6205,10852.4075,12845.1253,-0.176489607,-2.13531796,2.09353332,12327.7822,11078.359,13191.1447,-0.194594759,-2.16076143,2.06502558
5,5,0.001,0.5,0.5,387.348677,419.037638,336.38616,-0.44387174,-2.70973374,1.47089717,21085.7628,21062.1858,21118.6151,-0.00242745989,-2.09479668,2.09431377,20910.5174,20872.2002,20965.9828,-0.00410254125,-2.09507508,2.09426875,17653.4696,17349.5061,18130.583,-0.0414326314,-2.1011303,2.09378564,13908.1117,13270.2512,14820.5776,-0.106846221,-2.11117533,2.09352733,10889.6556,10214.0312,12089.5302,-0.176489624,-2.13531802,2.09353329,11938.9621,10807.9147,12809.6972,-0.177110358,-2.13484251,2.09398998,6680.61146,4381.97747,5648.42121,-2.6622234,1.47339631,-0.22859404,1739.60215,1908.68136,1904.114,-2.95446892,1.28180448,-0.912229663,1402.5058,1719.30173,1686.91031,-3.02663804,1.24042886,-1.05261814,11829.4171,10701.1526,12693.3096,-0.179544001,-2.13856849,2.08971644,11820.3496,10693.301,12684.0696,-0.179760911,-2.13887235,2.08937621,11601.1163,10501.7225,12460.6032,-0.185014962,-2.14634136,2.08100024,12327.6863,11078.2814,13191.0474,-0.194596909,-2.1607648,2.06502191,11977.3459,10851.0722,12843.9846,-0.176505361,-2.13530614,2.0935477,11207.0748,10186.9968,12060.4752,-0.194594767,-2.16076143,2.06502558,11595.8051,10496.9431,12455.1377,-0.185150588,-2.14653216,2.08078863,11978.6205,10852.4075,12845.1253,-0.176489607,-2.13531796,2.09353332,12327.7822,11078.359,13191.1447,-0.194594759,-2.16076143,2.06502558
1,6,0.1,0.5,0.5,386.642899,418.03928,336.135617,-0.444585872,-2.70908428,1.47172451,21086.2032,21062.8618,21118.7946,-0.0024137813,-2.09480473,2.0943045,20911.2518,20873.3291,20966.2827,-0.00407943845,-2.09508862,2.09425315,17659.5335,17359.0845,18133.1271,-0.0411876614,-2.10126459,2.093633,13919.7971,13289.7051,14825.7352,-0.106160106,-2.11151591,2.09314932,10905.2443,10241.2659,12097.0016,-0.175198767,-2.13586861,2.09287516,11956.1667,10836.9518,12817.654,-0.175810766,-2.13540041,2.09332707,6677.49273,4383.90052,5647.26871,-2.66115861,1.47468289,-0.228203437,1738.79009,1909.6048,1904.11221,-2.95340415,1.28275796,-0.912003809,1401.85104,1720.14659,1687.00054,-3.02557323,1.24132943,-1.05239679,11846.5009,10729.8985,12701.2089,-0.178243131,-2.1391259,2.08905112,11837.4234,10722.0253,12691.964,-0.178459947,-2.13942971,2.0887107,11617.9447,10529.921,12468.3803,-0.183711609,-2.14689717,2.08033001,12345.6969,11107.9566,13199.3034,-0.193286667,-2.16131462,2.0643429,11994.4954,10880.0122,12851.9235,-0.175214244,-2.13585696,2.09288941,11223.4482,10214.2845,12068.0238,-0.19328452,-2.16131126,2.06434658,11612.6275,10525.1286,12462.9119,-0.183847183,-2.14708792,2.08011828,11995.768,10881.3444,12853.0637,-0.175198747,-2.13586857,2.09287519,12345.7929,11108.0344,13199.401,-0.193284519,-2.16131126,2.06434658
2,7,0.1,0.5,0.5,386.642899,418.03928,336.135617,-0.444585872,-2.70908428,1.47172451,21086.2032,21062.8618,21118.7946,-0.0024137813,-2.09480473,2.0943045,20911.2518,20873.3291,20966.2827,-0.00407943845,-2.09508862,2.09425315,17659.5335,17359.0845,18133.1271,-0.0411876614,-2.10126459,2.093633,13919.7971,13289.7051,14825.7352,-0.106160106,-2.11151591,2.09314932,10905.2443,10241.2659,12097.0016,-0.175198767,-2.13586861,2.09287516,11956.1667,10836.9518,12817.654,-0.175810766,-2.13540041,2.09332707,6677.49273,4383.90052,5647.26871,-2.66115861,1.47468289,-0.228203437,1738.79009,1909.6048,1904.11221,-2.95340415,1.28275796,-0.912003809,1401.85104,1720.14659,1687.00054,-3.02557323,1.24132943,-1.05239679,11846.5009,10729.8985,12701.2089,-0.178243131,-2.1391259,2.08905112,11837.4234,10722.0253,12691.964,-0.178459947,-2.13942971,2.0887107,11617.9447,10529.921,12468.3803,-0.183711609,-2.14689717,2.08033001,12345.6969,11107.9566,13199.3034,-0.193286667,-2.16131462,2.0643429,11994.4954,10880.0122,12851.9235,-0.175214244,-2.13585696,2.09288941,11223.4482,10214.2845,12068.0238,-0.19328452,-2.16131126,2.06434658,11612.6275,10525.1286,12462.9119,-0.183847183,-2.14708792,2.08011828,11995.768,10881.3444,12853.0637,-0.175198747,-2.13586857,2.09287519,12345.7929,11108.0344,13199.401,-0.193284519,-2.16131126,2.06434658
3,8,0.1,0.5,0.5,386.642899,418.03928,336.135617,-0.444585872,-2.70908428,1.47172451,21086.2032,21062.8618,21118.7946,-0.0024137813,-2.09480473,2.0943045,20911.2518,20873.3291,20966.2827,-0.00407943845,-2.09508862,2.09425315,17659.5335,17359.0845,18133.1271,-0.0411876614,-2.10126459,2.093633,13919.7971,13289.7051,14825.7352,-0.106160106,-2.11151591,2.09314932,10905.2443,10241.2659,12097.0016,-0.175198767,-2.13586861,2.09287516,11956.1667,10836.9518,12817.654,-0.175810766,-2.13540041,2.09332707,6677.49273,4383.90052,5647.26871,-2.66115861,1.47468289,-0.228203437,1738.79009,1909.6048,1904.11221,-2.95340415,1.28275796,-0.912003809,1401.85104,1720.14659,1687.00054,-3.02557323,1.24132943,-1.05239679,11846.5009,10729.8985,12701.2089,-0.178243131,-2.1391259,2.08905112,11837.4234,10722.0253,12691.964,-0.178459947,-2.13942971,2.0887107,11617.9447,10529.921,12468.3803,-0.183711609,-2.14689717,2.08033001,12345.6969,11107.9566,13199.3034,-0.193286667,-2.16131462,2.0643429,11994.4954,10880.0122,12851.9235,-0.175214244,-2.13585696,2.09288941,11223.4482,10214.2845,12068.0238,-0.19328452,-2.16131126,2.06434658,11612.6275,10525.1286,12462.9119,-0.183847183,-2.14708792,2.08011828,11995.768,10881.3444,12853.0637,-0.175198747,-2.13586857,2.09287519,12345.7929,11108.0344,13199.401,-0.193284519,-2.16131126,2.06434658
4,9,0.1,0.5,0.5,386.642899,418.03928,336.135617,-0.444585872,-2.70908428,1.47172451,21086.2032,21062.8618,21118.7946,-0.0024137813,-2.09480473,2.0943045,20911.2518,20873.3291,20966.2827,-0.00407943845,-2.09508862,2.09425315,17659.5335,17359.0845,18133.1271,-0.0411876614,-2.10126459,2.093633,13919.7971,13289.7051,14825.7352,-0.106160106,-2.11151591,2.09314932,10905.2443,10241.2659,12097.0016,-0.175198767,-2.13586861,2.09287516,11956.1667,10836.9518,12817.654,-0.175810766,-2.13540041,2.09332707,6677.49273,4383.90052,5647.26871,-2.66115861,1.47468289,-0.228203437,1738.79009,1909.6048,1904.11221,-2.95340415,1.28275796,-0.912003809,1401.85104,1720.14659,1687.00054,-3.02557323,1.24132943,-1.05239679,11846.5009,10729.8985,12701.2089,-0.178243131,-2.1391259,2.08905112,11837.4234,10722.0253,12691.964,-0.178459947,-2.13942971,2.0887107,11617.9447,10529.921,12468.3803,-0.183711609,-2.14689717,2.08033001,12345.6969,11107.9566,13199.3034,-0.193286667,-2.16131462,2.0643429,11994.4954,10880.0122,12851.9235,-0.175214244,-2.13585696,2.09288941,11223.4482,10214.2845,12068.0238,-0.19328452,-2.16131126,2.06434658,11612.6275,10525.1286,12462.9119,-0.183847183,-2.14708792,2.08011828,11995.768,10881.3444,12853.0637,-0.175198747,-2.13586857,2.09287519,12345.7929,11108.0344,13199.401,-0.193284519,-2.16131126,2.06434658
5,10,0.1,0.5,0.5,386.642899,418.03928,336.135617,-0.444585872,-2.70908428,1.47172451,21086.2032,21062.8618,21118.7946,-0.0024137813,-2.09480473,2.0943045,20911.2518,20873.3291,20966.2827,-0.00407943845,-2.09508862,2.09425315,17659.5335,17359.0845,18133.1271,-0.0411876614,-2.10126459,2.093633,13919.7971,13289.7051,14825.7352,-0.106160106,-2.11151591,2.09314932,10905.2443,10241.2659,12097.0016,-0.175198767,-2.13586861,2.09287516,11956.1667,10836.9518,12817.654,-0.175810766,-2.13540041,2.09332707,6677.49273,4383.90052,5647.26871,-2.66115861,1.47468289,-0.228203437,1738.79009,1909.6048,1904.11221,-2.95340415,1.28275796,-0.912003809,1401.85104,1720.14659,1687.00054,-3.02557323,1.24132943,-1.05239679,11846.5009,10729.8985,12701.2089,-0.178243131,-2.1391259,2.08905112,11837.4234,10722.0253,12691.964,-0.178459947,-2.13942971,2.0887107,11617.9447,10529.921,12468.3803,-0.183711609,-2.14689717,2.08033001,12345.6969,11107.9566,13199.3034,-0.193286667,-2.16131462,2.0643429,11994.4954,10880.0122,12851.9235,-0.175214244,-2.13585696,2.09288941,11223.4482,10214.2845,12068.0238,-0.19328452,-2.16131126,2.06434658,11612.6275,10525.1286,12462.9119,-0.183847183,-2.14708792,2.08011828,11995.768,10881.3444,12853.0637,-0.175198747,-2.13586857,2.09287519,12345.7929,11108.0344,13199.401,-0.193284519,-2.16131126,2.06434658
