dd,n,tipoCurto,Potencia_Carga,IA_Sim,IB_Sim,IC_Sim,VA_Sim,VB_Sim,VC_Sim,VA_Entrada_TRIF,VB_Entrada_TRIF,VC_Entrada_TRIF,IA_Entrada_TRIF,IB_Entrada_TRIF,IC_Entrada_TRIF
5,0.01,1,15000,16.428960486758,16.2435838062575,16.2935912889995,1.67517820832692,163.727353921308,163.145086776198,13755.1899837117,13755.113750037,13754.6947994805,16.3508322384436,16.2148107703063,16.400512666925
5,0.11,1,15000,16.4127772902446,16.2375820446332,16.2839889440289,18.4112027712908,171.555586296824,165.761760395758,13755.2109811569,13755.1417318179,13754.7434477319,16.3392075334887,16.2098346517105,16.3853265695558
5,0.21,1,15000,16.3966097919257,16.2315678577808,16.2743969104972,35.123185770918,179.40363853203,169.466693586531,13755.2320370726,13755.16968605,13754.7920637256,16.3275836828497,16.2048502050917,16.3701614947461
5,0.31,1,15000,16.3804574145419,16.2255415161914,16.2648148564133,51.8114301393494,187.269128433593,174.185026788628,13755.2531517073,13755.19761242,13754.8406477619,16.3159605757474,16.1998575884074,16.3550167582794
5,0.41,1,15000,16.3643207013991,16.2195029731006,16.2552429289908,68.4759803138815,195.149424227973,179.83126674308,13755.2743245243,13755.2255092414,13754.8891984498,16.3043384822616,16.194856690707,16.3398928464786
5,0.51,1,15000,16.348199413921,16.2134522884875,16.2456811420823,85.1167506261626,203.042953682843,186.316069905978,13755.2955552177,13755.2533788492,13754.9377161889,16.2927172641212,16.1898476466722,16.3247895999206
5,0.61,1,15000,16.3320937253011,16.2073896250657,16.2361295720836,101.733616908954,210.94794448764,193.550044089002,13755.3168428237,13755.2812210927,13754.986200462,16.2810971060461,16.1848305626631,16.30970714155
5,0.71,1,15000,16.3160036488635,16.2013148762285,16.2265880063743,118.326540166946,218.863004395985,201.447605889514,13755.3381882202,13755.3090327266,13755.0346502997,16.2694780031715,16.1798052258406,16.2946453848925
5,0.81,1,15000,16.2999290374767,16.1952285455314,16.2170564471304,134.895975095931,226.787023406822,209.929536411287,13755.359589294,13755.3368179394,13755.0830674593,16.2578601771056,16.174772028324,16.2796040765631
5,0.91,1,15000,16.2838700303542,16.1891301790729,16.2075347144461,151.441312690548,234.718716095679,218.923038203373,13755.3810468554,13755.3645761942,13755.1314497037,16.2462434658457,16.1697305051552,16.264583350663
5,0.01,2,15000,16.428960486758,16.2435838062575,16.2935912889995,1.67517820832692,163.727353921308,163.145086776198,13755.1899837117,13755.113750037,13754.6947994805,16.3508322384436,16.2148107703063,16.400512666925
5,0.11,2,15000,16.4127772902446,16.2375820446332,16.2839889440289,18.4112027712908,171.555586296824,165.761760395758,13755.2109811569,13755.1417318179,13754.7434477319,16.3392075334887,16.2098346517105,16.3853265695558
5,0.21,2,15000,16.3966097919257,16.2315678577808,16.2743969104972,35.123185770918,179.40363853203,169.466693586531,13755.2320370726,13755.16968605,13754.7920637256,16.3275836828497,16.2048502050917,16.3701614947461
5,0.31,2,15000,16.3804574145419,16.2255415161914,16.2648148564133,51.8114301393494,187.269128433593,174.185026788628,13755.2531517073,13755.19761242,13754.8406477619,16.3159605757474,16.1998575884074,16.3550167582794
5,0.41,2,15000,16.3643207013991,16.2195029731006,16.2552429289908,68.4759803138815,195.149424227973,179.83126674308,13755.2743245243,13755.2255092414,13754.8891984498,16.3043384822616,16.194856690707,16.3398928464786
5,0.51,2,15000,16.348199413921,16.2134522884875,16.2456811420823,85.1167506261626,203.042953682843,186.316069905978,13755.2955552177,13755.2533788492,13754.9377161889,16.2927172641212,16.1898476466722,16.3247895999206
5,0.61,2,15000,16.3320937253011,16.2073896250657,16.2361295720836,101.733616908954,210.94794448764,193.550044089002,13755.3168428237,13755.2812210927,13754.986200462,16.2810971060461,16.1848305626631,16.30970714155
5,0.71,2,15000,16.3160036488635,16.2013148762285,16.2265880063743,118.326540166946,218.863004395985,201.447605889514,13755.3381882202,13755.3090327266,13755.0346502997,16.2694780031715,16.1798052258406,16.2946453848925
5,0.81,2,15000,16.2999290374767,16.1952285455314,16.2170564471304,134.895975095931,226.787023406822,209.929536411287,13755.359589294,13755.3368179394,13755.0830674593,16.2578601771056,16.174772028324,16.2796040765631
5,0.91,2,15000,16.2838700303542,16.1891301790729,16.2075347144461,151.441312690548,234.718716095679,218.923038203373,13755.3810468554,13755.3645761942,13755.1314497037,16.2462434658457,16.1697305051552,16.264583350663
5,0.01,3,15000,13.3601858441379,1.73095840183602,14.900961028576,11373.0723753193,11514.1746135053,149.774560664514,13798.3535639334,13766.3414286138,13765.4403401422,6.85427566890738,9.51446623602629,16.3102313151327
5,0.11,3,15000,13.351197021027,1.73149204650645,14.8921609794767,11370.6424770337,11516.4804578266,157.504009288352,13798.3533059246,13766.3702905761,13765.4573067652,6.84906206458375,9.50955029736227,16.299943958258
5,0.21,3,15000,13.3422167430809,1.73202492305884,14.8833689973807,11368.2226491713,11518.7810295144,165.509847370629,13798.3530496091,13766.3991144173,13765.4742753367,6.84385374378793,9.50463876389312,16.2896661818361
5,0.31,3,15000,13.3332448934164,1.73255706686021,14.8745849829548,11365.812528368,11521.0765128889,173.751850565851,13798.3527942162,13766.4279008654,13765.4912455003,6.83865063246974,9.49973159080448,16.279397860314
5,0.41,3,15000,13.3242815138592,1.73308847695301,14.8658089869482,11363.4122089411,11523.3667163788,182.195487232971,13798.3525419622,13766.4566496172,13765.5082174788,6.83345274793221,9.4948288112863,16.2691390475036
5,0.51,3,15000,13.3153265601564,1.7336191351687,14.8570409365719,11361.0216242609,11525.6516155144,190.812113058732,13798.3522904078,13766.4853604524,13765.5251907115,6.82826008225309,9.48993036774973,16.2588896755758
5,0.61,3,15000,13.3063801568067,1.73414905963903,14.8482810029285,11358.6408711893,11527.9315150395,199.57723420249,13798.3520402842,13766.5140349221,13765.5421656377,6.82307267614428,9.48503638265234,16.2486499161204
5,0.71,3,15000,13.2974421033962,1.73467820305796,14.8395288908297,11356.2697662375,11530.2059711249,208.470145886882,13798.3517910674,13766.5426693333,13765.5591423832,6.81789047503953,9.48014663577454,16.2384194816014
5,0.81,3,15000,13.2885125397949,1.73520665199859,14.8307848746014,11353.9084528881,11532.4754509203,217.473622098358,13798.351544595,13766.5712685818,13765.5761200392,6.81271347635291,9.47526135845308,16.2281986124513
5,0.91,3,15000,13.2795913576419,1.73573432254421,14.8220487208651,11351.5568355847,11534.7395378642,226.572255635792,13798.3512983457,13766.5998289826,13765.5930993321,6.80754169416535,9.47038034747098,16.2179871103464
5,0.01,4,15000,1.75071260415916,14.9078657492644,13.3461010395418,11504.1113058572,134.340230261281,11380.2668683729,13766.2947152264,13765.491783601,13798.3488189917,9.53066201585037,16.3060469055521,6.83429371829357
5,0.11,4,15000,1.75017395497679,14.8987833045323,13.3379219367219,11507.0115802445,143.188313490986,11377.5359730583,13766.3259004318,13765.5059095082,13798.3490806236,9.52494270431885,16.2960674746452,6.83015751432664
5,0.21,4,15000,1.74963608833512,14.8897092132989,13.3297504095064,11509.905887658,152.257151070239,11374.8139307928,13766.3570460869,13765.5200419503,13798.3493408533,9.51922868217263,16.2860972351064,6.82602525990124
5,0.31,4,15000,1.74909892839392,14.8806433993147,13.3215864607886,11512.7939560389,161.507140069589,11372.1002610949,13766.3881533968,13765.5341801275,13798.3495976063,9.5135198592685,16.2761361447526,6.8218970012785
5,0.41,4,15000,1.74856257169784,14.8715858294554,13.313429980341,11515.6761938793,170.906102481553,11369.3956545926,13766.419221063,13765.5483249207,13798.3498535907,9.5078162643595,16.266184119787,6.8177726355564
5,0.51,4,15000,1.74802693549785,14.8625364779262,13.3052810157627,11518.5523935397,180.428636919583,11366.6995829243,13766.4502508186,13765.5624752588,13798.3501080849,9.50211783820021,16.2562411734207,6.81365222932486
5,0.61,4,15000,1.74749206013906,14.8534954279328,13.2971395998614,11521.4224260729,190.053800885097,11364.0121749304,13766.4812416906,13765.5766319558,13798.350360554,9.49642465719958,16.2463073728206,6.80953577170472
5,0.71,4,15000,1.74695795050603,14.844462641605,13.2890056939326,11524.2865669915,199.764639567743,11361.3334970577,13766.5121940278,13765.5907942735,13798.3506109371,9.49073670054575,16.2363826736067,6.80542324069449
5,0.81,4,15000,1.74642457296272,14.8354380477953,13.2808792720837,11527.1446889716,209.547450875009,11358.6633455643,13766.5431072756,13765.604962557,13798.3508602816,9.4850539020207,16.2264670194879,6.80131464857487
5,0.91,4,15000,1.74589196625932,14.8264217239011,13.2727603586026,11529.9968049676,219.390294604592,11356.0019997706,13766.5739813436,13765.6191365214,13798.3511082693,9.47937633576156,16.2165604694982,6.7972099773338
5,0.01,5,15000,14.9438756285791,13.38712982168,1.73808032151547,1.67517263982307,11443.301637545,11444.5548298895,13765.5231613249,13798.3551068663,13766.0080375187,16.3508323008879,6.85937973524419,9.54752152433513
5,0.11,5,15000,14.9334511451061,13.3774690609085,1.73807921286814,18.4110805254153,11437.0481590641,11450.8106726455,13765.5333043613,13798.3551060802,13766.053503161,16.3392075504826,6.85438026965352,9.54115905805954
5,0.21,5,15000,14.9230273026697,13.3678093632524,1.73807808394944,35.1230156825541,11430.8170867116,11457.0492927531,13765.5435247017,13798.3551032028,13766.0989323518,16.3275837429793,6.84938186459809,9.53479685110517
5,0.31,5,15000,14.9126038683376,13.3581505437329,1.73807692905017,51.8113995919054,11424.608495945,11463.2709968377,13765.5538216978,13798.3551011975,13766.1443248746,16.3159606356228,6.84438444790132,9.52843474637794
5,0.41,5,15000,14.90218110572,13.3484927611167,1.73807581632872,68.4758798349353,11418.422509751,11469.4756429051,13765.5641949648,13798.3550992653,13766.1896805725,16.3043384732088,6.8393880465377,9.52207295322157
5,0.51,5,15000,14.8917590022094,13.3388360752329,1.73807467453367,85.1166221857459,11412.258802825,11475.6631596885,13765.5746439305,13798.3550972851,13766.2349987938,16.2927172831769,6.83439273575196,9.51571142205624
5,0.61,5,15000,14.881337592937,13.329180447203,1.73807358084659,101.73359017556,11406.1177970329,11481.8340248533,13765.5851688423,13798.3550966085,13766.2802799014,16.2810970629057,6.82939845283264,9.50935021729808
5,0.71,5,15000,14.8709170951045,13.3195261314763,1.73807245804248,118.326521208484,11399.9991151694,11487.9876045414,13765.5957682602,13798.3550943781,13766.3255230974,16.2694780863072,6.82440535830478,9.50298943745364
5,0.81,5,15000,14.8604973327124,13.309872959798,1.73807133771232,134.895912541592,11393.9027535191,11494.1244164203,13765.606442524,13798.3550923026,13766.3707284352,16.2578601531165,6.81941336673864,9.4966289815646
5,0.91,5,15000,14.8500785760213,13.3002211902771,1.73807018339995,151.441242519788,11387.8287790057,11500.2440516076,13765.6171907555,13798.3550899015,13766.4158943759,16.2462435701292,6.81442261177047,9.4902690067346
5,0.01,1,30000,32.8989024591683,32.1669130607211,32.3609160321907,3.33897820735764,325.162874300546,324.042959714963,13711.2785524289,13711.0036022079,13709.3283083996,32.5927918330346,32.0496673149913,32.7842745664986
5,0.11,1,30000,32.8343596792919,32.1435871222646,32.3228422562766,36.6734592938785,340.34263072388,329.227659337954,13711.3607398522,13711.1147796047,13709.522895158,32.5466207675058,32.0305084548217,32.7236680580487
5,0.21,1,30000,32.7699389940946,32.1201625061331,32.2848491968335,69.9135615034117,355.568235692197,336.558339359964,13711.4433943716,13711.225730473,13709.717219641,32.5004561824999,32.0112828700535,32.6632253493851
5,0.31,1,30000,32.7056416420925,32.0966402314601,32.2469365633209,103.05887578235,370.833149481327,345.87604440384,13711.526510138,13711.3364518,13709.911275712,32.454299458137,31.9919907033971,32.6029469122614
5,0.41,1,30000,32.6414677279822,32.0730214616548,32.2091040759223,136.109587122806,386.132195462177,357.004050627781,13711.6100821165,13711.4469486828,13710.1050592905,32.4081513050572,31.9726325897995,32.5428324173433
5,0.51,1,30000,32.5774179093535,32.0493069537743,32.1713524000111,169.065958512777,401.460926291067,369.758628147495,13711.6941058009,13711.5572152585,13710.2985673307,32.362012225573,31.9532093395336,32.4828826602569
5,0.61,1,30000,32.513492241942,32.0254990268783,32.1336807021273,201.927796022134,416.815355843254,383.958175950522,13711.778571823,13711.6672545388,13710.4917949421,32.3158838473396,31.9337220062165,32.4230965293411
